W0417 07:55:17.207000 7856 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  11.3310 | norm:   3.1731 | time:     5.68 | tok/s: 2306.113735 | lr: 0.000100
step:      330 | loss:   4.2773 | norm:   2.3208 | time:   862.50 | tok/s: 26097.786071 | lr: 0.010000
step:      340 | loss:   4.3125 | norm:   2.2585 | time:   887.62 | tok/s: 26083.048968 | lr: 0.010000
step:      350 | loss:   4.1723 | norm:   2.1913 | time:   912.83 | tok/s: 26096.896569 | lr: 0.010000
step:      360 | loss:   4.3109 | norm:   2.7163 | time:   937.94 | tok/s: 26109.813932 | lr: 0.010000
step:      370 | loss:   4.1405 | norm:   2.2423 | time:   963.07 | tok/s: 26077.441802 | lr: 0.010000
step:      380 | loss:   4.1875 | norm:   2.1666 | time:   988.28 | tok/s: 26113.127755 | lr: 0.010000
step:      390 | loss:   4.1939 | norm:   2.0461 | time:  1013.39 | tok/s: 26071.424081 | lr: 0.010000
step:      400 | loss:   4.0984 | norm:   2.0617 | time:  1038.59 | tok/s: 26112.162790 | lr: 0.010000
step:      410 | loss:   4.1294 | norm:   2.0862 | time:  1063.72 | tok/s: 26081.249760 | lr: 0.010000
step:      420 | loss:   3.9823 | norm:   2.1563 | time:  1088.93 | tok/s: 26093.735485 | lr: 0.010000
step:      430 | loss:   4.1094 | norm:   2.0629 | time:  1114.05 | tok/s: 26085.591050 | lr: 0.010000
step:      440 | loss:   4.3136 | norm:   2.8288 | time:  1139.18 | tok/s: 26083.786541 | lr: 0.010000
step:      450 | loss:   4.0598 | norm:   2.5386 | time:  1164.39 | tok/s: 26110.887856 | lr: 0.010000
step:      460 | loss:   4.2201 | norm:   2.8686 | time:  1189.51 | tok/s: 15286.610953 | lr: 0.010000
step:      470 | loss:   4.0323 | norm:   2.0564 | time:  1216.41 | tok/s: 26098.655811 | lr: 0.010000
step:      480 | loss:   4.0917 | norm:   2.5538 | time:  1241.54 | tok/s: 26098.048722 | lr: 0.010000
step:      490 | loss:   4.1527 | norm:   1.9669 | time:  1266.67 | tok/s: 26074.490719 | lr: 0.010000
step:      500 | loss:   3.9783 | norm:   2.4204 | time:  1291.88 | tok/s: 26126.311999 | lr: 0.010000
step:      510 | loss:   3.9662 | norm:   2.1081 | time:  1317.01 | tok/s: 26059.359911 | lr: 0.010000
step:      520 | loss:   4.4213 | norm:   3.8685 | time:  1342.22 | tok/s: 26108.928570 | lr: 0.010000
step:      530 | loss:   4.0583 | norm:   2.1274 | time:  1367.33 | tok/s: 26085.945050 | lr: 0.010000
step:      540 | loss:   4.1379 | norm:   2.0326 | time:  1392.47 | tok/s: 26082.078800 | lr: 0.010000
step:      550 | loss:   4.1261 | norm:   2.0359 | time:  1417.68 | tok/s: 26104.351434 | lr: 0.010000
step:      560 | loss:   4.0603 | norm:   2.2142 | time:  1442.80 | tok/s: 26088.363896 | lr: 0.010000
step:      570 | loss:   4.0070 | norm:   2.5840 | time:  1467.94 | tok/s: 26083.818718 | lr: 0.010000
step:      580 | loss:   4.0074 | norm:   2.0635 | time:  1493.07 | tok/s: 26059.409321 | lr: 0.010000
step:      590 | loss:   4.1169 | norm:   2.9034 | time:  1518.27 | tok/s: 26110.610066 | lr: 0.010000
step:      600 | loss:   3.9739 | norm:   2.2722 | time:  1543.47 | tok/s: 26105.447221 | lr: 0.010000
step:      610 | loss:   3.9393 | norm:   2.2503 | time:  1568.59 | tok/s: 26111.981712 | lr: 0.010000
step:      620 | loss:   3.7779 | norm:   2.0877 | time:  1593.72 | tok/s: 26104.619174 | lr: 0.010000
step:      630 | loss:   3.8137 | norm:   2.1371 | time:  1618.85 | tok/s: 26091.464239 | lr: 0.010000
step:      640 | loss:   3.8918 | norm:   2.4528 | time:  1644.06 | tok/s: 26101.069579 | lr: 0.010000
step:      650 | loss:   3.9527 | norm:   2.3626 | time:  1669.26 | tok/s: 26098.668200 | lr: 0.010000
step:      660 | loss:   3.9057 | norm:   2.1732 | time:  1694.38 | tok/s: 26054.387711 | lr: 0.010000
step:      670 | loss:   3.8815 | norm:   1.8914 | time:  1719.52 | tok/s: 26081.229963 | lr: 0.010000
step:      680 | loss:   4.0038 | norm:   2.0102 | time:  1744.66 | tok/s: 26039.065616 | lr: 0.010000
step:      690 | loss:   3.8430 | norm:   2.8517 | time:  1769.80 | tok/s: 26080.514804 | lr: 0.010000
step:      700 | loss:   3.8772 | norm:   2.4159 | time:  1795.00 | tok/s: 26087.715195 | lr: 0.010000
step:      710 | loss:   3.7501 | norm:   1.8452 | time:  1820.12 | tok/s: 26087.759761 | lr: 0.010000
step:      720 | loss:   3.7148 | norm:   2.1400 | time:  1845.25 | tok/s: 26099.371964 | lr: 0.010000
step:      730 | loss:   3.8194 | norm:   2.1108 | time:  1870.39 | tok/s: 26076.524000 | lr: 0.010000
step:      740 | loss:   3.9383 | norm:   2.5361 | time:  1895.53 | tok/s: 26086.883321 | lr: 0.010000
step:      750 | loss:   3.7872 | norm:   2.1878 | time:  1920.73 | tok/s: 26105.333176 | lr: 0.010000
step:      760 | loss:   3.7929 | norm:   2.3605 | time:  1945.86 | tok/s: 26101.225721 | lr: 0.010000
step:      770 | loss:   3.7185 | norm:   2.1608 | time:  1970.98 | tok/s: 26080.720192 | lr: 0.010000
step:      780 | loss:   4.0667 | norm:   2.3553 | time:  1996.19 | tok/s: 26092.930473 | lr: 0.010000
step:      790 | loss:   3.9321 | norm:   2.7452 | time:  2021.32 | tok/s: 26105.303425 | lr: 0.010000
step:      800 | loss:   3.7611 | norm:   1.8953 | time:  2046.52 | tok/s: 26104.167985 | lr: 0.010000
step:      810 | loss:   3.7058 | norm:   2.6881 | time:  2071.64 | tok/s: 26112.482784 | lr: 0.010000
step:      820 | loss:   3.8515 | norm:   2.2539 | time:  2096.78 | tok/s: 26084.910308 | lr: 0.010000
step:      830 | loss:   3.7254 | norm:   2.6321 | time:  2121.92 | tok/s: 26088.717971 | lr: 0.010000
step:      840 | loss:   3.7789 | norm:   2.4950 | time:  2147.14 | tok/s: 26136.599090 | lr: 0.010000
step:      850 | loss:   3.5939 | norm:   2.2143 | time:  2172.33 | tok/s: 26104.631570 | lr: 0.010000
step:      860 | loss:   3.6199 | norm:   2.2565 | time:  2197.45 | tok/s: 26083.001943 | lr: 0.010000
step:      870 | loss:   3.5988 | norm:   1.8970 | time:  2222.59 | tok/s: 26073.674527 | lr: 0.010000
step:      880 | loss:   3.7289 | norm:   2.1699 | time:  2247.73 | tok/s: 26091.880316 | lr: 0.010000
step:      890 | loss:   3.7462 | norm:   2.4104 | time:  2272.87 | tok/s: 26083.046493 | lr: 0.010000
step:      900 | loss:   3.7319 | norm:   1.9395 | time:  2298.08 | tok/s: 26099.567736 | lr: 0.010000
step:      910 | loss:   3.5585 | norm:   1.7587 | time:  2323.19 | tok/s: 26101.723901 | lr: 0.010000
step:      920 | loss:   3.6007 | norm:   2.6197 | time:  2348.32 | tok/s: 15847.668599 | lr: 0.010000
step:      930 | loss:   3.5908 | norm:   2.4771 | time:  2375.09 | tok/s: 26087.616160 | lr: 0.010000
step:      940 | loss:   3.5843 | norm:   2.1114 | time:  2400.22 | tok/s: 26089.158722 | lr: 0.010000
step:      950 | loss:   3.6372 | norm:   2.1661 | time:  2425.42 | tok/s: 26112.023881 | lr: 0.010000
step:      960 | loss:   3.6641 | norm:   2.3702 | time:  2450.54 | tok/s: 26102.085775 | lr: 0.010000
step:      970 | loss:   3.6085 | norm:   2.2048 | time:  2475.68 | tok/s: 26095.031041 | lr: 0.010000
step:      980 | loss:   3.3714 | norm:   2.7015 | time:  2500.82 | tok/s: 26085.244486 | lr: 0.010000
step:      990 | loss:   3.6753 | norm:   2.2225 | time:  2525.95 | tok/s: 26086.252023 | lr: 0.010000
step:     1000 | loss:   3.6582 | norm:   2.3400 | time:  2551.15 | tok/s: 26107.951516 | lr: 0.010000
step:     1010 | loss:   3.5766 | norm:   2.3162 | time:  2576.27 | tok/s: 26097.684482 | lr: 0.010000
step:     1020 | loss:   3.5286 | norm:   2.2495 | time:  2601.41 | tok/s: 26099.007687 | lr: 0.010000
step:     1030 | loss:   3.4814 | norm:   2.3769 | time:  2626.54 | tok/s: 26063.839726 | lr: 0.010000
step:     1040 | loss:   3.4550 | norm:   2.5351 | time:  2651.69 | tok/s: 26074.376943 | lr: 0.010000
step:     1050 | loss:   3.5409 | norm:   2.1577 | time:  2676.89 | tok/s: 26101.758601 | lr: 0.010000
step:     1060 | loss:   3.6092 | norm:   2.4673 | time:  2702.02 | tok/s: 26099.409136 | lr: 0.010000
step:     1070 | loss:   3.5916 | norm:   2.2578 | time:  2727.15 | tok/s: 26098.591384 | lr: 0.010000
step:     1080 | loss:   3.5951 | norm:   2.0664 | time:  2752.28 | tok/s: 26079.371622 | lr: 0.010000
step:     1090 | loss:   3.6595 | norm:   1.7356 | time:  2777.41 | tok/s: 26095.298590 | lr: 0.010000
step:     1100 | loss:   3.5863 | norm:   2.6342 | time:  2802.61 | tok/s: 26121.694014 | lr: 0.010000
step:     1110 | loss:   3.7426 | norm:   2.4299 | time:  2827.74 | tok/s: 26078.594711 | lr: 0.010000
step:     1120 | loss:   3.6596 | norm:   2.3342 | time:  2852.87 | tok/s: 26092.073499 | lr: 0.010000
step:     1130 | loss:   3.5205 | norm:   2.3618 | time:  2878.08 | tok/s: 26111.411209 | lr: 0.010000
step:     1140 | loss:   3.5756 | norm:   2.2932 | time:  2903.19 | tok/s: 26104.433243 | lr: 0.010000
step:     1150 | loss:   3.4953 | norm:   1.8273 | time:  2928.32 | tok/s: 26070.054220 | lr: 0.010000
step:     1160 | loss:   3.5704 | norm:   2.6121 | time:  2953.47 | tok/s: 26087.259639 | lr: 0.010000
step:     1170 | loss:   3.5650 | norm:   2.4318 | time:  2978.67 | tok/s: 26092.714986 | lr: 0.010000
step:     1180 | loss:   3.6993 | norm:   2.1269 | time:  3003.87 | tok/s: 26123.491358 | lr: 0.010000
step:     1190 | loss:   3.6023 | norm:   2.4475 | time:  3029.00 | tok/s: 26080.413349 | lr: 0.010000
step:     1200 | loss:   3.6813 | norm:   2.4603 | time:  3054.12 | tok/s: 26068.390304 | lr: 0.010000
step:     1210 | loss:   3.5570 | norm:   2.2681 | time:  3079.26 | tok/s: 26072.267335 | lr: 0.010000
step:     1220 | loss:   3.5690 | norm:   2.5872 | time:  3104.48 | tok/s: 26119.539513 | lr: 0.010000
step:     1230 | loss:   3.5409 | norm:   2.5283 | time:  3129.60 | tok/s: 26087.588925 | lr: 0.010000
step:     1240 | loss:   3.6093 | norm:   2.3038 | time:  3154.74 | tok/s: 26090.379531 | lr: 0.010000
step:     1250 | loss:   3.5702 | norm:   2.4407 | time:  3179.87 | tok/s: 26096.517496 | lr: 0.010000
step:     1260 | loss:   3.5318 | norm:   2.1157 | time:  3205.02 | tok/s: 26114.452528 | lr: 0.010000
step:     1270 | loss:   3.5450 | norm:   2.1298 | time:  3230.24 | tok/s: 26075.002720 | lr: 0.010000
step:     1280 | loss:   3.5339 | norm:   2.2922 | time:  3255.45 | tok/s: 26091.907559 | lr: 0.009575
step:     1290 | loss:   3.5044 | norm:   2.1230 | time:  3280.57 | tok/s: 26090.614791 | lr: 0.008884
step:     1300 | loss:   3.5573 | norm:   1.6897 | time:  3305.71 | tok/s: 26098.170137 | lr: 0.008193
step:     1310 | loss:   3.3436 | norm:   1.6027 | time:  3330.85 | tok/s: 26093.245041 | lr: 0.007502
step:     1320 | loss:   3.2667 | norm:   1.5268 | time:  3356.06 | tok/s: 26095.216838 | lr: 0.006808
step:     1330 | loss:   3.4192 | norm:   1.2272 | time:  3381.19 | tok/s: 26094.037688 | lr: 0.006117
step:     1340 | loss:   3.4494 | norm:   0.9028 | time:  3406.33 | tok/s: 26082.242140 | lr: 0.005426
step:     1350 | loss:   3.4375 | norm:   1.1641 | time:  3431.48 | tok/s: 26089.436056 | lr: 0.004734
step:     1360 | loss:   3.3450 | norm:   0.8681 | time:  3456.69 | tok/s: 26077.008868 | lr: 0.004041
step:     1370 | loss:   3.2688 | norm:   0.8863 | time:  3481.89 | tok/s: 26099.560302 | lr: 0.003348
step:     1380 | loss:   3.3650 | norm:   1.3066 | time:  3507.02 | tok/s: 26065.161973 | lr: 0.002657
step:     1390 | loss:   3.3286 | norm:   0.7787 | time:  3533.99 | tok/s: 26089.379103 | lr: 0.001915
step:     1400 | loss:   3.3044 | norm:   0.8560 | time:  3559.12 | tok/s: 26078.792646 | lr: 0.001224
step:     1410 | loss:   3.1771 | norm:   0.6855 | time:  3584.27 | tok/s: 26080.947854 | lr: 0.000533
Final BPB: tensor(1.8269, device='cuda:0')
